UPA,USO_DE_SU,Reclass,ABANDONED,CONSERVATION,FARMING,CATTLE,FORESTRY,LODGING,AGUA,ENERGIA_EL,TELEFONO_F,INTERNET,ALCANTARIL,VIAS_DE_AC,RIEGO,RELIEVE
23,AGRICOLA HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
24,AGRICOLA FORESTAL CONSERVACIONAL,AGRICOLA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,ONDULADO
24,HABITACIONAL,HABITACIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,ASFALTADA,NO TIENE,PLANO
25,AGRICOLA,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
26,AGRICOLA HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
26,AGRICOLA,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,PLANO
27,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
28,FORESTAL SIN APROVECHAMIENTO,FORESTAL,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
28,AGRICOLA PECUARIO FORESTAL,AGRICOLA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
28,AGRICOLA FORESTAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
28,AGRICOLA PECUARIO FORESTAL,AGRICOLA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
28,AGRICOLA PECUARIO SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
28,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
28,AGRICOLA SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
28,PECUARIO SIN APROVECHAMIENTO,PECUARIO,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
29,PECUARIO HABITACIONAL,PECUARIO,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
31,AGRICOLA HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PUBLICO,LASTRADA,NO TIENE,PLANO
32,HABITACIONAL SIN APROVECHAMIENTO,HABITACIONAL,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,ONDULADO
33,AGRICOLA FORESTAL,AGRICOLA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
33,AGRICOLA CONSERVACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,NO TIENE,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,ONDULADO
